run_name,seed,model_id,n_layer,n_head,n_embd,batch_size,n_params,checkpoint_idx,checkpoint_tokens_target,train_tokens_real,val_loss,val_ppl,mu_landscape,flops_estimate,d_over_n,dataset_name,dataset_config,tokenizer_name
tail_s0_L7_H4_E128_B128_T36000000,0,L7_H4_E128,7,4,128,128,7837440,6,36000000,36012032,6.1861900806427,485.990988060268,0.25787509232759476,1693452840468480.0,4.5948717948717945,wikitext,wikitext-103-raw-v1,gpt2
tail_s0_L7_H4_E128_B128_T42000000,0,L7_H4_E128,7,4,128,128,7837440,7,42000000,42008576,6.126470780372619,457.81756742968525,0.5032850503921509,1975438163312640.0,5.3599869345092275,wikitext,wikitext-103-raw-v1,gpt2
tail_s0_L7_H4_E128_B128_T50000000,0,L7_H4_E128,7,4,128,128,7837440,8,50000000,50003968,6.038113451004028,419.10163284737604,0.2864518500864506,2351418593771520.0,6.380140454025804,wikitext,wikitext-103-raw-v1,gpt2
tail_s1_L2_H2_E48_B128_T12000000,1,L2_H2_E48,2,2,48,128,2475120,1,12000000,12009472,7.225852203369141,1374.5094782600786,0.11832157149910927,178349306019840.0,4.852076666989883,wikitext,wikitext-103-raw-v1,gpt2
tail_s1_L2_H2_E48_B128_T16000000,1,L2_H2_E48,2,2,48,128,2475120,2,16000000,16007168,7.08760974407196,1197.0431388785682,0.1402096664533019,237717969960960.0,6.4672290636413585,wikitext,wikitext-103-raw-v1,gpt2
tail_s1_L2_H2_E48_B128_T20000000,1,L2_H2_E48,2,2,48,128,2475120,3,20000000,20004864,6.991329956054687,1087.1663986655988,0.1635796893388033,297086633902080.0,8.082381460292835,wikitext,wikitext-103-raw-v1,gpt2
tail_s1_L2_H2_E48_B128_T25000000,1,L2_H2_E48,2,2,48,128,2475120,4,25000000,25001984,6.875428605079651,968.1902479263154,0.26576076820492744,371297463828480.0,10.101321956107178,wikitext,wikitext-103-raw-v1,gpt2
tail_s1_L2_H2_E48_B128_T30000000,1,L2_H2_E48,2,2,48,128,2475120,5,30000000,30015488,6.783836221694946,883.4513469374206,0.3557683043181896,445751607951360.0,12.12688192895698,wikitext,wikitext-103-raw-v1,gpt2
tail_s1_L2_H2_E48_B128_T36000000,1,L2_H2_E48,2,2,48,128,2475120,6,36000000,36012032,6.6977579355239865,810.5863993240192,0.5563791207969189,534804603863040.0,14.549610523934193,wikitext,wikitext-103-raw-v1,gpt2
tail_s1_L2_H2_E48_B128_T42000000,1,L2_H2_E48,2,2,48,128,2475120,7,42000000,42008576,6.652760696411133,774.9206960275578,0.3923902101814747,623857599774720.0,16.972339118911407,wikitext,wikitext-103-raw-v1,gpt2
tail_s1_L2_H2_E48_B128_T50000000,1,L2_H2_E48,2,2,48,128,2475120,8,50000000,50003968,6.575679135322571,717.4326928238805,0.4671696089208126,742594927656960.0,20.202643912214356,wikitext,wikitext-103-raw-v1,gpt2
tail_s1_L3_H2_E64_B128_T12000000,1,L3_H2_E64,3,2,64,128,3374720,1,12000000,12009472,7.059706139564514,1164.1030316815898,0.22580292262136936,243171632087040.0,3.55865731082875,wikitext,wikitext-103-raw-v1,gpt2
tail_s1_L3_H2_E64_B128_T16000000,1,L3_H2_E64,3,2,64,128,3374720,2,16000000,16007168,6.909047913551331,1001.2934703813529,0.30371174216270447,324118259957760.0,4.743258107339275,wikitext,wikitext-103-raw-v1,gpt2
tail_s1_L3_H2_E64_B128_T20000000,1,L3_H2_E64,3,2,64,128,3374720,3,20000000,20004864,6.792258620262146,890.9235490571489,0.24435541778802872,405064887828480.0,5.927858903849801,wikitext,wikitext-103-raw-v1,gpt2
tail_s1_L3_H2_E64_B128_T25000000,1,L3_H2_E64,3,2,64,128,3374720,4,25000000,25001984,6.694393420219422,807.8637517409081,0.4527863711118698,506248172666880.0,7.408609899487957,wikitext,wikitext-103-raw-v1,gpt2
tail_s1_L3_H2_E64_B128_T30000000,1,L3_H2_E64,3,2,64,128,3374720,5,30000000,30015488,6.648973441123962,771.9914239762066,0.4058932065963745,607763205980160.0,8.894215816423289,wikitext,wikitext-103-raw-v1,gpt2
tail_s1_L3_H2_E64_B128_T36000000,1,L3_H2_E64,3,2,64,128,3374720,6,36000000,36012032,6.5625626802444454,708.0839642563311,0.430068913847208,729183147786240.0,10.671117011189077,wikitext,wikitext-103-raw-v1,gpt2
tail_s1_L3_H2_E64_B128_T42000000,1,L3_H2_E64,3,2,64,128,3374720,7,42000000,42008576,6.497915363311767,663.7564986458551,0.4930586814880371,850603089592320.0,12.448018205954865,wikitext,wikitext-103-raw-v1,gpt2
tail_s1_L3_H2_E64_B128_T50000000,1,L3_H2_E64,3,2,64,128,3374720,8,50000000,50003968,6.417313504219055,612.3558110770622,0.8154185712337494,1012496345333760.0,14.817219798975914,wikitext,wikitext-103-raw-v1,gpt2
tail_s1_L4_H2_E80_B128_T12000000,1,L4_H2_E80,4,2,80,128,4342320,1,12000000,12009472,6.913559031486511,1005.8206269050942,0.21568054147064686,312893822730240.0,2.7656810184417546,wikitext,wikitext-103-raw-v1,gpt2
tail_s1_L4_H2_E80_B128_T16000000,1,L4_H2_E80,4,2,80,128,4342320,2,16000000,16007168,6.785492968559265,884.9162153092133,0.3784187026321888,417049474498560.0,3.6863169918384644,wikitext,wikitext-103-raw-v1,gpt2
tail_s1_L4_H2_E80_B128_T20000000,1,L4_H2_E80,4,2,80,128,4342320,3,20000000,20004864,6.705397772789001,816.8028636556238,0.27485261484980583,521205126266880.0,4.606952965235174,wikitext,wikitext-103-raw-v1,gpt2
