run_name,seed,model_id,n_layer,n_head,n_embd,batch_size,n_params,checkpoint_idx,checkpoint_tokens_target,train_tokens_real,val_loss,val_ppl,mu_landscape,flops_estimate,d_over_n,dataset_name,dataset_config,tokenizer_name
s0_L2_H2_E80_B128_T580000,0,L2_H2_E80,2,2,80,128,4186640,11,580000,589824,9.742303514480591,17022.7083077088,0.01076357380952686,14816284508160.0,0.1408824260027134,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E80_B128_T812000,0,L2_H2_E80,2,2,80,128,4186640,12,812000,819200,9.37414321899414,11779.820495236936,0.010217589559033513,20578172928000.0,0.1956700361148797,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E80_B128_T1137000,0,L2_H2_E80,2,2,80,128,4186640,13,1137000,1146880,8.912225675582885,7422.162053437632,0.009827540023252368,28809442099200.0,0.2739380505608316,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E80_B128_T1592000,0,L2_H2_E80,2,2,80,128,4186640,14,1592000,1605632,8.388380575180054,4395.693432140359,0.00915071985218674,40333218938880.0,0.38351327078516423,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E80_B128_T2229000,0,L2_H2_E80,2,2,80,128,4186640,15,2229000,2244608,7.864611959457397,2603.4999657755434,0.011856089462526143,56384193822720.0,0.5361358989547704,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E80_B128_T3121000,0,L2_H2_E80,2,2,80,128,4186640,16,3121000,3129344,7.5148285865783695,1835.0528966369952,0.02052572974935174,78608620584960.0,0.7474595379588405,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E80_B128_T4370000,0,L2_H2_E80,2,2,80,128,4186640,17,4370000,4374528,7.389053845405579,1618.1743453120878,0.05385792488232255,109887443435520.0,1.0448779928534577,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E80_B128_T6120000,0,L2_H2_E80,2,2,80,128,4186640,18,6120000,6127616,7.28081181049347,1452.166430675426,0.09924710914492607,153924733501440.0,1.4636118701393002,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E80_B128_T8570000,0,L2_H2_E80,2,2,80,128,4186640,19,8570000,8585216,7.124724674224853,1242.3060810798709,0.17530144192278385,215659252285440.0,2.0506219784839392,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E80_B128_T12000000,0,L2_H2_E80,2,2,80,128,4186640,20,12000000,12009472,6.955798578262329,1049.2160846421662,0.20279844105243683,301676015124480.0,2.8685227294441367,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E96_B128_T20000,0,L2_H2_E96,2,2,96,128,5060832,1,20000,32768,10.732048082351685,45800.39902276112,0.08209907356649637,995000057856.0,0.006474824692856826,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E96_B128_T28000,0,L2_H2_E96,2,2,96,128,5060832,2,28000,32768,10.731707334518433,45784.79529465126,0.08224822394549847,995000057856.0,0.006474824692856826,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E96_B128_T39000,0,L2_H2_E96,2,2,96,128,5060832,3,39000,49152,10.680004549026489,43477.74813308267,0.06369390059262514,1492500086784.0,0.00971223703928524,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E96_B128_T55000,0,L2_H2_E96,2,2,96,128,5060832,4,55000,65536,10.6359121799469,41602.36018876835,0.04657189128920436,1990000115712.0,0.012949649385713653,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E96_B128_T77000,0,L2_H2_E96,2,2,96,128,5060832,5,77000,81920,10.597758674621582,40044.9829353795,0.038238913752138615,2487500144640.0,0.01618706173214207,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E96_B128_T108000,0,L2_H2_E96,2,2,96,128,5060832,6,108000,114688,10.527845525741578,37340.93756860705,0.02704760222695768,3482500202496.0,0.022661886424998893,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E96_B128_T151000,0,L2_H2_E96,2,2,96,128,5060832,7,151000,163840,10.428864479064941,33821.92294529592,0.019467961974442005,4975000289280.0,0.03237412346428414,wikitext,wikitext-103-raw-v1,gpt2
s0_L2_H2_E96_B128_T211000,0,L2_H2_E96,2,2,96,128,5060832,8,211000,212992,10.32907314300537,30609.727910936865,0.016603961936198175,6467500376064.0,0.04208636050356938,wikitext,wikitext-103-raw-v1,gpt2
