run_name,seed,model_id,n_layer,n_head,n_embd,batch_size,n_params,checkpoint_idx,checkpoint_tokens_target,train_tokens_real,val_loss,val_ppl,mu_landscape,flops_estimate,d_over_n,dataset_name,dataset_config,tokenizer_name
few_s0_L5_H2_E96_B128_T32493000,0,L5_H2_E96,5,2,96,128,5396352,30,32493000,32505856,6.416092419624329,611.6085291697302,0.34388232603669167,1052478246223872.0,6.023672288242131,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L5_H2_E96_B128_T41929000,0,L5_H2_E96,5,2,96,128,5396352,31,41929000,41943040,6.328256702423095,560.1791831290723,0.40777700021862984,1358036446740480.0,7.77248037192533,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L5_H2_E96_B128_T54104000,0,L5_H2_E96,5,2,96,128,5396352,32,54104000,54116352,6.195104312896729,490.34259138645444,0.4904412664473057,1752185306087424.0,10.028321354870846,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L5_H2_E96_B128_T69814000,0,L5_H2_E96,5,2,96,128,5396352,33,69814000,69828608,6.106161332130432,448.6133281238723,0.47508594393730164,2260918490628096.0,12.939965369197562,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L5_H2_E96_B128_T90086000,0,L5_H2_E96,5,2,96,128,5396352,34,90086000,90095616,6.006273889541626,405.96781763116286,0.5916059389710426,2917125945556992.0,16.695652173913043,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L5_H2_E96_B128_T116245000,0,L5_H2_E96,5,2,96,128,5396352,35,116245000,116260864,5.962005376815796,388.3882085098197,0.8629556745290756,3764307275808768.0,21.544344030930525,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L5_H2_E96_B128_T150000000,0,L5_H2_E96,5,2,96,128,5396352,36,150000000,150011904,5.931291961669922,376.6408051057751,0.8592488318681717,4857102229045248.0,27.79876183021419,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L7_H4_E128_B128_T20000,0,L7_H4_E128,7,4,128,128,7837440,1,20000,32768,10.858814811706543,51990.4232174159,0.20564321987330914,1540903403520.0,0.004180957047199086,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L7_H4_E128_B128_T26000,0,L7_H4_E128,7,4,128,128,7837440,2,26000,32768,10.859446096420289,52023.25433865641,0.20186012983322144,1540903403520.0,0.004180957047199086,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L7_H4_E128_B128_T33000,0,L7_H4_E128,7,4,128,128,7837440,3,33000,49152,10.856473779678344,51868.85432536013,0.20328214764595032,2311355105280.0,0.0062714355707986285,wikitext,wikitext-103-raw-v1,gpt2
